Time,Right Hand Dominant?,Current Trial,Ball X,Ball Y,Ball Z,Wrist X,Wrist Y,Wrist Z,Hand-Ball Distance,Target Hit?,Error Distance,Ball Velocity m/s
22.00889,NO,1,-0.0742972,1.355732,-0.2801091,-0.2642704,1.277397,-0.370831,0.2246257,NO,0.2158749,4.76917
25.66444,NO,2,-0.3962272,1.363375,-0.2707941,-0.5900021,1.32035,-0.3956375,0.2344904,NO,0.2758594,4.714535
28.75333,NO,3,-0.4346234,1.143153,-0.3312602,-0.7724844,1.251158,-0.4832274,0.3858874,YES,0,5
31.93111,NO,4,-0.4350886,1.170601,-0.3071898,-0.6543902,1.210262,-0.4793438,0.2816083,NO,0.1978465,4.132098
35.09778,NO,5,-0.3617507,1.25226,-0.2716377,-0.617949,1.221177,-0.4825158,0.3332766,NO,0.2758275,5
38.86444,NO,6,-0.2520368,1.296936,-0.2787592,-0.4811901,1.218767,-0.3704766,0.2589085,NO,0.1123345,4.680621
42.07556,NO,7,-0.4387051,1.198878,-0.3211743,-0.6948704,1.253687,-0.5095185,0.3226424,YES,0,5
44.92,NO,8,-0.26082,1.196053,-0.297989,-0.3723911,1.053391,-0.4781498,0.2554571,NO,0.2167081,4.248998
53.22,NO,9,-0.2870977,1.009126,-0.2500601,-0.4622482,1.01922,-0.4476341,0.2642254,NO,0.2053852,4.044455
56.74222,NO,10,-0.1441927,1.164006,-0.2642446,-0.3628789,1.101332,-0.4024194,0.2661654,YES,0,4.765703
59.30889,NO,11,-0.6507479,1.545454,-0.2886784,-0.7970972,1.627267,-0.5732079,0.3302553,NO,0.6610013,5
63.69778,NO,12,-0.4699197,1.609978,-0.1192186,-0.6773279,1.591821,-0.260759,0.2517568,NO,0.3306317,4.470962
68.10889,NO,13,-0.5089145,1.451221,-0.2583062,-0.7339827,1.357003,-0.3203963,0.2517693,NO,0.2664244,4.498458
71.32,NO,14,-0.5876433,1.290152,-0.2440908,-0.8311045,1.349392,-0.5424405,0.3896091,NO,0.1866909,5
74.69778,NO,15,-0.3934519,1.017955,-0.358099,-0.7187257,1.114372,-0.4639045,0.3553788,NO,0.1950082,5
79.16444,NO,16,0.03564227,1.332267,-0.3858994,-0.1878405,1.28449,-0.4566102,0.2392221,YES,0,4.203007
80.65334,NO,17,0.0605018,1.163193,-0.3490118,-0.0910157,1.128767,-0.5148634,0.2272652,NO,1.126617,4.81692
83.80889,NO,18,-0.2729755,1.071097,-0.339821,-0.3472947,1.016513,-0.5213619,0.203617,NO,0.2781088,3.930734
85.24223,NO,19,0.2057872,1.61954,-0.3855415,0.08380663,1.499134,-0.45552,0.185132,NO,1.1453,1.074465
88.76444,NO,20,-0.2157513,0.9936739,-0.3307226,-0.3910604,0.9858747,-0.4948207,0.2402547,YES,0,4.05049
91.73111,NO,21,-0.1633963,1.056431,-0.2829804,-0.2544824,1.045271,-0.4397845,0.1816832,NO,0.1593478,4.199911
93.12,NO,22,-0.1135651,1.257745,-0.3127115,-0.2950479,1.009941,-0.7428629,0.5285577,NO,1.132508,4.785375
95.40889,NO,23,-0.1635053,1.047024,-0.3572675,-0.3166313,1.003229,-0.7228575,0.3987751,YES,0,2.972343
98.23111,NO,24,-0.1665888,1.07399,-0.3209189,-0.3281344,0.9967743,-0.7205338,0.4378943,YES,0,4.073469
100.4533,NO,25,-0.05347617,1.102871,-0.3584964,-0.2687536,1.064638,-0.4548733,0.238945,YES,0,4.81386
